chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,13EA,"(a) Show that if P(A)=1, then P(AB) = P(B). (b) Prove that any event A with P(A)=0 or P(A)=1 is independent of every event B."
,,,,,14EA,"Show that if an event A is independent of itself, then P(A)=0 or 1."
,,,,,15EA,"Show that if A and B are independent and A ? B, then either P(A)=0 or P(B) = 1"
,,,,,16EA,Suppose that 55% of the customers of a shoestore buy black shoes. Find the probability that at least one of the next six customers who purchase a pair of shoes from this store will buy black shoes. Assume that these customers decide independently.
,,,,,17EA,"Three missiles are fired at a target and hit it independently, with probabilities 0.7, 0.8, and 0.9, respectively. What is the probability that the target is hit?"
,,,,,18EA,"In his book, Probability 1, published by Harcourt Brace and Company, 1998, Amir Aczel estimates that the probability of life for any one given star in the known universe is 0.00000000000005 independently of life for any other star. Assuming that there are 100 billion galaxies in the universe and each galaxy has 300 billion stars, what is the probability of life on at least one other star in the known universe? How does this probability change if there were only a billion galaxies, each having 10 billion stars?"
,,,,,19EA,"In a tire factory, the quality control inspector examines a randomly chosen sample of 15 tires. When more than one defective tire is found, production is halted, the existing tires are recycled, and production is then resumed. The purpose of this process is to ensure that the defect rate is no higher than 6%. Occasionally, by a stroke of bad luck, even if the defect rate is no higher than 6%, more than one defective tire occurs among the 15 chosen. Determine the fraction of the time that this happens."
,,,,,20EA,"In a community of M men and W women, m men and w women smoke (m ? M, w ? W). If a person is selected at random and A and B are the events that the person is a man and smokes, respectively, under what conditions are A and B independent?"
,,,,,21EA,"Prove that if A, B, and C are independent, then A and B ? C are independent. Also show that A ? B and C are independent."
,,,,,22EA,"A fair die is rolled six times. If on the ith roll, 1 ? i ? 6, the outcome is i, we say that a match has occurred. What is the probability that at least one match occurs?"
,,,,,23EA,"There are n cards in a box numbered 1 through n. We draw cards successively and at random with replacement. If the ith draw is the card numbered i, we say that a match has occurred. (a) What is the probability of at least one match in n trials? (b) What happens if n increases without bound?"
,,,,,24EA,"In a certain county, 15% of patients suffering heart attacks are younger than 40, 20% are between 40 and 50, 30% are between 50 and 60, and 35% are above 60. On a certain day, 10 unrelated patients suffering heart attacks are transferred to a county hospital. If among them there is at least one patient younger than 40, what is the probability that there are two or more patients younger than 40?"
,,,,,25EA,"If the events A and B are independent and the events B and C are independent, is it true that the events A and C are also independent? Why or why not?"
,,,,,26EA,From the set of all families with three children a family is selected at random. Let A be the event that “the family has children of both sexes” and B be the event that “there is at most one girl in the family.” Are A and B independent? Answer the same question for families with two children and families with four children. Assume that for any family size all sex distributions have equal probabilities.
,,,,,27EA,An event occurs at least once in four independent trials with probability 0.59. What is the probability of its occurrence in one trial?
,,,,,28EA,"Let {A1, A2,...,An} be an independent set of events and P(Ai) = pi, 1 ? i ? n. (a) What is the probability that at least one of the events A1, A2, ..., An occurs? (b) What is the probability that none of the events A1, A2,...,An occurs?"
,,,,,29EA,"Figure 3.10 shows an electric circuit in which each of the switches located at 1, 2, 3, 4, 5, and 6 is independently closed or open with probabilities p and 1 ? p, respectively. If a signal is fed to the input, what is the probability that it is transmitted to the output?"
,,,,Exercise B,1EB,"An urn contains two red and four white balls. Balls are drawn from the urn successively, at random and with replacement. What is the probability that exactly three whites occur in the first five trials?"
,,,,,2EB,A fair coin is tossed n times. Show that the events “at least two heads” and “one or two tails” are independent if n = 3 but dependent if n = 4.
,,,,,3EB,A fair coin is flipped indefinitely. What is the probability of (a) at least one head in the first n flips; (b)
,,,,,4EB,"If two fair dice are tossed six times, what is the probability that the sixth sum obtained is not a repetition?"
,,,,,5EB,"Suppose that an airplane passenger whose itinerary requires a change of airplanes in Ankara, Turkey, has a 4% chance of losing each piece of his or her luggage independently. Suppose that the probability of losing each piece of luggage in this way is 5% at Da Vinci airport in Rome, 5% at Kennedy airport in New York, and 4% at O’Hare airport in Chicago. Dr. May travels from Bombay to San Francisco with one piece of luggage in the baggage compartment. He changes airplanes in Ankara, Rome, New York, and Chicago. (a) What is the probability that his luggage does not reach his destination with him? (b) If the luggage does not reach his destination with him, what is the probability that it was lost at Da Vinci airport in Rome?"
